Data		Hora       Temp_atual	Temp_med	Temp_min	Temp_max      Umi_atual     Umi_med     Umi_min     Umi_max
02/10/2024	15:09:09    26.49 °C	 27.83 °C	26.44 °C	 130.00 °C     42.51 RH      43.96 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:14    26.47 °C	 27.81 °C	26.44 °C	 130.00 °C     42.51 RH      43.94 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:19    26.50 °C	 27.80 °C	26.44 °C	 130.00 °C     42.46 RH      43.92 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:24    26.50 °C	 27.78 °C	26.44 °C	 130.00 °C     42.50 RH      43.91 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:29    26.49 °C	 27.76 °C	26.44 °C	 130.00 °C     42.47 RH      43.89 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:34    26.47 °C	 27.75 °C	26.44 °C	 130.00 °C     42.53 RH      43.87 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:39    26.50 °C	 27.73 °C	26.44 °C	 130.00 °C     42.48 RH      43.85 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:44    26.50 °C	 27.72 °C	26.44 °C	 130.00 °C     42.48 RH      43.84 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:49    26.47 °C	 27.70 °C	26.44 °C	 130.00 °C     42.51 RH      43.82 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:54    26.49 °C	 27.69 °C	26.44 °C	 130.00 °C     42.45 RH      43.81 RH    42.36 RH    100.00 RH   
02/10/2024	15:09:59    26.47 °C	 27.68 °C	26.44 °C	 130.00 °C     42.52 RH      43.79 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:04    26.49 °C	 27.66 °C	26.44 °C	 130.00 °C     42.47 RH      43.78 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:09    26.49 °C	 27.65 °C	26.44 °C	 130.00 °C     42.50 RH      43.76 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:14    26.47 °C	 27.64 °C	26.44 °C	 130.00 °C     42.45 RH      43.75 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:19    26.46 °C	 27.62 °C	26.44 °C	 130.00 °C     42.49 RH      43.73 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:24    26.47 °C	 27.61 °C	26.44 °C	 130.00 °C     42.52 RH      43.72 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:29    26.47 °C	 27.60 °C	26.44 °C	 130.00 °C     42.53 RH      43.71 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:34    26.46 °C	 27.59 °C	26.44 °C	 130.00 °C     42.55 RH      43.70 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:39    26.49 °C	 27.57 °C	26.44 °C	 130.00 °C     42.57 RH      43.68 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:44    26.47 °C	 27.56 °C	26.44 °C	 130.00 °C     42.53 RH      43.67 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:49    26.49 °C	 27.55 °C	26.44 °C	 130.00 °C     42.50 RH      43.66 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:54    26.47 °C	 27.54 °C	26.44 °C	 130.00 °C     42.51 RH      43.65 RH    42.36 RH    100.00 RH   
02/10/2024	15:10:59    26.47 °C	 27.53 °C	26.44 °C	 130.00 °C     42.53 RH      43.64 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:04    26.50 °C	 27.52 °C	26.44 °C	 130.00 °C     42.50 RH      43.63 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:09    26.47 °C	 27.51 °C	26.44 °C	 130.00 °C     42.52 RH      43.61 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:14    26.47 °C	 27.50 °C	26.44 °C	 130.00 °C     42.48 RH      43.60 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:19    26.50 °C	 27.49 °C	26.44 °C	 130.00 °C     42.51 RH      43.59 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:24    26.49 °C	 27.48 °C	26.44 °C	 130.00 °C     42.55 RH      43.58 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:29    26.50 °C	 27.47 °C	26.44 °C	 130.00 °C     42.54 RH      43.57 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:34    26.46 °C	 27.46 °C	26.44 °C	 130.00 °C     42.48 RH      43.56 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:39    26.46 °C	 27.45 °C	26.44 °C	 130.00 °C     42.52 RH      43.55 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:44    26.47 °C	 27.44 °C	26.44 °C	 130.00 °C     42.53 RH      43.54 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:49    26.47 °C	 27.43 °C	26.44 °C	 130.00 °C     42.59 RH      43.53 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:54    26.47 °C	 27.42 °C	26.44 °C	 130.00 °C     42.58 RH      43.53 RH    42.36 RH    100.00 RH   
02/10/2024	15:11:59    26.46 °C	 27.42 °C	26.44 °C	 130.00 °C     42.62 RH      43.52 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:04    26.44 °C	 27.41 °C	26.44 °C	 130.00 °C     42.53 RH      43.51 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:09    26.43 °C	 27.40 °C	26.43 °C	 130.00 °C     42.57 RH      43.50 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:14    26.44 °C	 27.39 °C	26.43 °C	 130.00 °C     42.55 RH      43.49 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:19    26.44 °C	 27.38 °C	26.43 °C	 130.00 °C     42.59 RH      43.48 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:24    26.46 °C	 27.37 °C	26.43 °C	 130.00 °C     42.59 RH      43.48 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:29    26.46 °C	 27.37 °C	26.43 °C	 130.00 °C     42.59 RH      43.47 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:34    26.47 °C	 27.36 °C	26.43 °C	 130.00 °C     42.55 RH      43.46 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:39    26.46 °C	 27.35 °C	26.43 °C	 130.00 °C     42.56 RH      43.45 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:44    26.47 °C	 27.34 °C	26.43 °C	 130.00 °C     42.58 RH      43.45 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:49    26.47 °C	 27.34 °C	26.43 °C	 130.00 °C     42.59 RH      43.44 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:54    26.44 °C	 27.33 °C	26.43 °C	 130.00 °C     42.58 RH      43.43 RH    42.36 RH    100.00 RH   
02/10/2024	15:12:59    26.50 °C	 27.32 °C	26.43 °C	 130.00 °C     42.53 RH      43.42 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:04    26.50 °C	 27.32 °C	26.43 °C	 130.00 °C     42.55 RH      43.42 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:09    26.49 °C	 27.31 °C	26.43 °C	 130.00 °C     42.54 RH      43.41 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:14    26.51 °C	 27.30 °C	26.43 °C	 130.00 °C     42.53 RH      43.40 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:19    26.49 °C	 27.30 °C	26.43 °C	 130.00 °C     42.52 RH      43.40 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:24    26.49 °C	 27.29 °C	26.43 °C	 130.00 °C     42.57 RH      43.39 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:29    26.50 °C	 27.28 °C	26.43 °C	 130.00 °C     42.53 RH      43.38 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:34    26.50 °C	 27.28 °C	26.43 °C	 130.00 °C     42.53 RH      43.38 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:39    26.49 °C	 27.27 °C	26.43 °C	 130.00 °C     42.54 RH      43.37 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:44    26.51 °C	 27.27 °C	26.43 °C	 130.00 °C     42.51 RH      43.36 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:49    26.51 °C	 27.26 °C	26.43 °C	 130.00 °C     42.54 RH      43.36 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:54    26.51 °C	 27.26 °C	26.43 °C	 130.00 °C     42.54 RH      43.35 RH    42.36 RH    100.00 RH   
02/10/2024	15:13:59    26.50 °C	 27.25 °C	26.43 °C	 130.00 °C     42.54 RH      43.35 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:04    26.53 °C	 27.24 °C	26.43 °C	 130.00 °C     42.49 RH      43.34 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:09    26.51 °C	 27.24 °C	26.43 °C	 130.00 °C     42.51 RH      43.33 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:14    26.50 °C	 27.23 °C	26.43 °C	 130.00 °C     42.51 RH      43.33 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:19    26.50 °C	 27.23 °C	26.43 °C	 130.00 °C     42.50 RH      43.32 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:24    26.53 °C	 27.22 °C	26.43 °C	 130.00 °C     42.46 RH      43.32 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:29    26.51 °C	 27.22 °C	26.43 °C	 130.00 °C     42.46 RH      43.31 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:34    26.51 °C	 27.21 °C	26.43 °C	 130.00 °C     42.47 RH      43.30 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:39    26.51 °C	 27.21 °C	26.43 °C	 130.00 °C     42.48 RH      43.30 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:44    26.51 °C	 27.20 °C	26.43 °C	 130.00 °C     42.48 RH      43.29 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:49    26.54 °C	 27.20 °C	26.43 °C	 130.00 °C     42.52 RH      43.29 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:54    26.51 °C	 27.19 °C	26.43 °C	 130.00 °C     42.47 RH      43.28 RH    42.36 RH    100.00 RH   
02/10/2024	15:14:59    26.51 °C	 27.19 °C	26.43 °C	 130.00 °C     42.40 RH      43.27 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:05    26.60 °C	 27.19 °C	26.43 °C	 130.00 °C     44.53 RH      43.28 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:10    27.23 °C	 27.19 °C	26.43 °C	 130.00 °C     60.78 RH      43.40 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:15    28.77 °C	 27.20 °C	26.43 °C	 130.00 °C     72.27 RH      43.59 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:20    29.18 °C	 27.21 °C	26.43 °C	 130.00 °C     69.05 RH      43.76 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:25    130.00 °C	 27.89 °C	26.43 °C	 130.00 °C     100.00 RH      44.13 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:30    130.00 °C	 28.55 °C	26.43 °C	 130.00 °C     100.00 RH      44.50 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:35    130.00 °C	 29.21 °C	26.43 °C	 130.00 °C     100.00 RH      44.86 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:40    130.00 °C	 29.86 °C	26.43 °C	 130.00 °C     100.00 RH      45.21 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:45    130.00 °C	 30.50 °C	26.43 °C	 130.00 °C     100.00 RH      45.56 RH    42.36 RH    100.00 RH   
02/10/2024	15:15:50    28.21 °C	 30.49 °C	26.43 °C	 130.00 °C     40.76 RH      45.53 RH    40.76 RH    100.00 RH   
02/10/2024	15:15:55    28.43 °C	 30.48 °C	26.43 °C	 130.00 °C     53.58 RH      45.58 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:00    130.00 °C	 31.10 °C	26.43 °C	 130.00 °C     100.00 RH      45.93 RH    40.76 RH    100.00 RH   
02/10/2024	15:16:05    28.69 °C	 31.09 °C	26.43 °C	 130.00 °C     56.98 RH      46.00 RH    40.76 RH    100.00 RH   
